Concrete Column ID,Cut off level (mPD),"Alluvium Bottom
(mPD)","Embedded Depth in CD Material 
(m)","Tentative Concrete Column Bottom level 
(mPD)","Concrete Column Length 
(m)","Subbase Height
(500mm)","Foundation level
(mPD)",Actual Founding level,"Casing Top Level
(mPD)","Measuring Depth
(m)","Casing toe in level
(mPD)","Actual Toe Level
(mPD)","Drill Start Date 
(DD/MM/YYYY)","Drill Completed Date
(DD/MM/YYYY)","Concrete Date
(DD/MM/YYYY)",column drilled,Completed,Construction_Stage,X_Coord,Y_Coord
BH2_1_C1,0.875,-31.0,10.0,-41.0,41.875,0.5,-41.5,,,,,,,,,,,Not Started,19.247240713084175,45.743219511022424
BH2_1_C2,0.875,-30.8,5.2,-36.0,36.875,0.5,-36.5,,,,,,,,,,,Not Started,22.704285838459498,18.50793501277222
BH2_1_C3,0.875,-31.0,10.0,-41.0,41.875,0.5,-41.5,,,,,,,,,,,Not Started,21.39196365086843,0.7728308264433714
BH2_1_C4,0.875,-30.8,3.2,-34.0,34.875,0.5,-34.5,,,,,,,,,,,Not Started,20.59195090518222,46.415928129386266
BH2_1_C5,0.875,-31.0,3.0,-34.0,34.875,0.5,-34.5,,,,,,,,,,,Not Started,17.93611184265462,21.409207415865716
BH2_1_C6,0.875,-30.7,3.3,-34.0,34.875,0.5,-34.5,,,,,,,,,,,Not Started,17.935967122017217,48.33274095218348
BH2_2_C1,0.875,-30.4,10.6,-41.0,41.875,0.5,-41.5,,,,,,,,,,,Not Started,17.348501673009196,48.18099885446264
BH2_2_C2,0.875,-30.0,8.0,-38.0,38.875,0.5,-38.5,,,,,,,,,,,Not Started,22.19705687464961,42.650472773368
BH2_2_C3,0.875,-31.0,10.0,-41.0,41.875,0.5,-41.5,,,,,,,,,,,Not Started,20.60669007045925,14.722444603479284
BH2_2_C4,0.875,-30.5,7.5,-38.0,38.875,0.5,-38.5,,,,,,,,,,,Not Started,21.24843546677627,19.254886430096263
BH2_3_C1,0.875,-28.2,10.8,-39.0,39.875,0.5,-39.5,,,,,,,,,,,Not Started,17.123506965774816,42.556833575842845
BH2_3_C2,0.875,-28.2,5.8,-34.0,34.875,0.5,-34.5,,,,,,,,,,,Not Started,22.819459112971966,15.846100257813884
BH2_3_C3,0.875,-29.2,11.8,-41.0,41.875,0.5,-41.5,,,,,,,,,,,Not Started,21.99465584480253,8.474637334304624
BH2_3_C4,0.875,-29.1,7.9,-37.0,37.875,0.5,-37.5,,,,,,,,,,,Not Started,18.274034664069656,27.840063122917506
BH5_1_C1,0.875,-27.7,11.3,-39.88,40.755,0.5,-40.38,,,,,,,,,,,Not Started,48.0909498032426,46.80773870803905
BH5_1_C2,0.875,-28.2,4.8,-33.39,34.265,0.5,-33.89,,,,,,,,,,,Not Started,48.100427059120605,34.80148983374865
BH5_1_C3,0.875,-27.7,13.3,-43.77,44.645,0.5,-44.27,,,,,,,,,,,Not Started,48.82545345775723,28.50305850446825
BH5_1_C4,0.875,-28.5,8.5,-37.09,37.965,0.5,-37.59,,,,,,,,,,,Not Started,50.148538589793425,4.8588246885384265
BH5_1_C5,0.875,-28.0,13.0,-41.0,41.875,0.5,-41.5,,,,,,,,,,,Not Started,49.59167011185269,30.750361334958487
BH5_1_C6,0.875,-29.0,8.0,-36.58,37.455,0.5,-37.08,,,,,,,,,,,Not Started,48.747374841188254,49.50269250521316
BH5_1_C7,0.875,-29.0,12.0,-41.0,41.875,0.5,-41.5,,,,,,,,,,,Not Started,50.67111736833428,7.004200761826201
BH5_1_C8,0.875,-30.1,7.9,-38.0,38.875,0.5,-38.5,,,,,,,,,,,Not Started,47.83696316391225,25.916482618186837
BH5_2_C1,0.875,-28.5,3.5,-32.09,32.965,0.5,-32.59,,,,,,,,,,,Not Started,48.75286789121131,43.86865359639777
BH5_2_C2,0.875,-28.5,3.5,-32.09,32.965,0.5,-32.59,,,,,,,,,,,Not Started,49.19817105976215,37.03843088771022
BH5_2_C3,0.875,-28.5,3.5,-32.09,32.965,0.5,-32.59,,,,,,,,,,,Not Started,49.73641990530221,34.8507870497634
BH5_2_C4,0.875,-28.5,3.5,-32.09,32.965,0.5,-32.59,,,,,,,,,,,Not Started,51.71105576835808,35.12420419935546
BH5_2_C5,0.875,-28.5,3.5,-32.09,32.965,0.5,-32.59,,,,,,,,,,,Not Started,48.19804269295016,17.97455756098776
BH5_2_C6,0.875,-28.5,3.5,-32.09,32.965,0.5,-32.59,,,,,,,,,,,Not Started,50.08540663048167,14.679592213224668
BH5_2_C7,0.875,-29.1,3.9,-33.0,33.875,0.5,-33.5,,,,,,,,,,,Not Started,50.554487413172254,40.46805777392568
